pretty_name,population,WSP_Art_new,wsp2,cb3,outdegree,closeness_bi,betweenness_bi,indegree,position,singleton
Biberach an der Riss (Germany),19840,core,core,core,63,0.3900009139932364,0.0002954721136562806,9,High-status clique,0
"Elmira (USA, NY)",40056,core,core,core,14,0.3648255813953488,1.033120495943803e-05,8,Isolated Clique,0
Saint Peter Port (Guernsey),43101,semi,,,68,0.4110393989018399,7.557193581401432e-05,98,Primary,0
Saint-Genis-Pouilly (France),22181,core,core,core,8,0.3346054316857046,0.0001568479282437561,2,Isolated Clique,0
"Hanapepe (USA, HI)",5085,core,core,core,0,0.3234781290273672,4.919821978051597e-08,2,Isolate,0
Unterwellenborn (Germany),9196,core,core,core,0,0.3323294997274073,0.0,2,Isolate,0
Stokkem (Belgium),239,core,core,core,13,0.3435126794579364,5.321629802971595e-06,3,Low-status clique,0
Nove Mesto nad Vahom (Slovakia),16538,periph,semi,semi,0,0.3205057586379569,9.6993930290461e-07,5,Isolate,0
"LaGrange (USA, GA)",11027,core,core,core,15,0.3690218801349131,0.0002532360373215509,17,High-status clique,0
Saint Imier (Switzerland),5128,core,core,core,0,0.3145363408521303,0.0,3,Isolate,0
"Steubenville (USA, OH)",15883,core,core,core,0,0.3470422382475736,0.0,6,Isolate,0
Wasserburg am Inn (Germany),14644,core,core,core,6,0.3376592545699137,0.0001592190980616222,1,Isolated Clique,0
"Portsmouth (USA, NH)",13297,core,core,core,18,0.3876741368867353,0.0001901922478189456,47,High-status clique,0
"Wendover (USA, NV)",3281,core,core,core,0,0.3158712925035779,0.0,2,Isolate,0
"Park Hills (USA, MO)",7599,core,core,core,4,0.3278356851998873,0.0001570282612061679,3,Isolated Clique,0
"Breckenridge (USA, MN)",9842,core,core,core,3,0.3430431986279344,6.790036267731862e-07,7,Isolated Clique,0
Niederurnen (Switzerland),11676,core,core,core,0,0.3323294997274073,0.0,3,Isolate,0
"Houghton (USA, MI)",12531,core,core,core,0,0.3404340194670496,0.0,2,Isolate,0
Piran (Slovenia),12807,semi,semi,core,0,0.3226953036376011,5.131143996358908e-07,7,Isolated Clique,0
Kaltbrunn (Switzerland),6067,core,core,core,0,0.3233555622916035,0.0,2,Isolate,0
"White River Junction (USA, VT)",7655,core,core,core,0,0.3514634012410082,3.200985694246471e-07,6,Isolate,0
Bludenz (Austria),15280,core,core,core,6,0.3424925085616438,0.000185146900861081,5,Isolated Clique,0
Tovarniky (Slovakia),23631,periph,semi,semi,0,0.3293115867462441,2.712462711661488e-07,4,Isolate,0
Solothurn (Switzerland),38285,core,core,core,20,0.3808347960610478,1.300475892422043e-05,25,High-status clique,0
Stiring-Wendel (France),27590,core,core,core,0,0.3398555726650029,1.793977238779188e-06,9,Isolate,0
Voehrenbach (Germany),3348,core,core,core,0,0.3397653678734473,0.0,2,Isolate,0
Landsberg am Lech (Germany),16970,core,core,core,0,0.3455433785024024,8.068497122605785e-07,7,Isolate,0
Lugo (Italy),513,core,core,core,0,0.3310318076027929,2.212255124671938e-07,4,Isolate,0
"Lewiston (USA, ME)",34176,core,core,core,0,0.3791765402843602,2.440477119541301e-05,28,Isolated Clique,0
Diez (Germany),11179,core,core,core,0,0.3373211415320562,1.828751053025495e-08,5,Isolate,0
Prebold (Slovenia),11613,semi,semi,core,0,0.3238955518445423,0.0,2,Isolate,0
Arrasate (Spain),12993,semi,core,core,0,0.3401445501408301,0.0,7,Isolate,0
"Kahului (USA, HI)",42235,core,core,core,0,0.3324675999272784,8.684898694759438e-07,7,Isolated Clique,0
"Burlington (USA, VT)",44300,core,core,core,4,0.3797051582475603,1.582634673226168e-05,44,High-status clique,0
